riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs17513135-?	4E-11	-	NR	-	-	-	PABPC4,PABPC4-AS1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	1:39570014	30595370	"Kichaev G"
rs58432198-?	2E-7	-	NR	-	-	-	FAF1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	1:50790419	30595370	"Kichaev G"
rs2793829-?	2E-8	-	NR	-	-	-	NOTCH2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	1:119918630	30595370	"Kichaev G"
rs340874-?	3E-12	-	NR	-	-	-	PROX1,PROX1-AS1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	1:213985913	30595370	"Kichaev G"
rs348330-?	9E-9	-	NR	-	-	-	ABCB10	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	1:229537208	30595370	"Kichaev G"
rs1260326-?	1E-15	-	NR	-	-	-	GCKR	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:27508073	30595370	"Kichaev G"
rs13414381-?	9E-17	-	NR	-	-	-	THADA	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:43340079	30595370	"Kichaev G"
rs243018-?	3E-9	-	NR	-	-	-	MIR4432HG	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:60359572	30595370	"Kichaev G"
rs11688682-?	2E-8	-	NR	-	-	-	LINC01101,Y_RNA	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:120590036	30595370	"Kichaev G"
rs13007524-?	9E-8	-	NR	-	-	-	RNU6-692P,LINC01911	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:147076352	30595370	"Kichaev G"
rs10184004-?	3E-15	-	NR	-	-	-	GRB14,COBLL1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:164651879	30595370	"Kichaev G"
rs2972143-?	2E-16	-	NR	-	-	-	NYAP2,MIR5702	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	2:226251649	30595370	"Kichaev G"
rs17036160-?	1E-11	-	NR	-	-	-	PPARG	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:12288284	30595370	"Kichaev G"
rs1496653-?	2E-11	-	NR	-	-	-	UBE2E2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:23413299	30595370	"Kichaev G"
rs6446298-?	2E-9	-	NR	-	-	-	UBA7,TRAIP	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:49823421	30595370	"Kichaev G"
rs112674299-?	5E-9	-	NR	-	-	-	ATXN7	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:63996994	30595370	"Kichaev G"
rs11720108-?	2E-15	-	NR	-	-	-	ADCY5	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:123350211	30595370	"Kichaev G"
rs4678408-?	9E-8	-	NR	-	-	-	NME9,MRAS	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:138334345	30595370	"Kichaev G"
rs7633675-?	3E-27	-	NR	-	-	-	IGF2BP2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:185792825	30595370	"Kichaev G"
rs3887925-?	2E-9	-	NR	-	-	-	ST6GAL1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	3:186947857	30595370	"Kichaev G"
rs10811660-?	3E-31	-	NR	-	-	-	CDKN2B-AS1,DMRTA1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	9:22134069	30595370	"Kichaev G"
rs2796441-?	8E-16	-	NR	-	-	-	TLE1-DT	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	9:81694033	30595370	"Kichaev G"
rs28641468-?	2E-8	-	NR	-	-	-	GPSM1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	9:136345132	30595370	"Kichaev G"
rs11257655-?	4E-14	-	NR	-	-	-	CDC123,RN7SL198P	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:12265895	30595370	"Kichaev G"
rs41277236-?	3E-9	-	NR	-	-	-	NEUROG3	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:69572545	30595370	"Kichaev G"
rs703972-?	6E-15	-	NR	-	-	-	ZMIZ1	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:79193069	30595370	"Kichaev G"
rs34744311-?	5E-27	-	NR	-	-	-	Y_RNA,HHEX	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:92707530	30595370	"Kichaev G"
rs117229942-?	2E-11	-	NR	-	-	-	TCF7L2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:112978018	30595370	"Kichaev G"
rs7903146-?	3E-203	-	NR	-	-	-	TCF7L2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:112998590	30595370	"Kichaev G"
rs4918796-?	4E-9	-	NR	-	-	-	TCF7L2	"Type 2 diabetes"	"type 2 diabetes mellitus"	-	GCST007077	10:113120583	30595370	"Kichaev G"
